"הכותרת המקורית (האמת)","השאלה למשחק","המושג החסר (התשובה)","מקור","סוג שאלה","שם קובץ ההקלטה"
"מחקר: בנות מדברות יותר מבנים - כבר מגיל שנה","מחקר: בנות ______ יותר מבנים - כבר מגיל שנה","מדברות","ynet",1,"L1_Coffee_Height"
"מחקר מצא: הרפורמה המשפטית גורמת חרדה וטראומה לאזרחי ישראל","מחקר מצא: ה_______ גורמת חרדה וטראומה לאזרחי ישראל","רפורמה המשפטית","Doctors",2,"L2_Reform_Anxiety"
"מחקר מצא קשר בין צריכת קפה לגובה הילדים שנולדו","מחקר מצא קשר בין ______ לגובה הילדים שנולדו","צריכת קפה","בחדרי חרדים",1,"L1_Coffee_Height"
"משרד החינוך מוצף בתלונות: ""לא לומדים מספיק יהדות ותנ""ך""","משרד החינוך מוצף בתלונות: ""לא לומדים מספיק ____ בבתי הספר""","יהדות ותנ""ך","הידברות",2,"L2_Edu_Judaism"
"סקר קובע: יהודים וערבים בישראל אופטימיים ופטריוטים יותר מתמיד","סקר קובע: יהודים וערבים בישראל ______ יותר מתמיד","אופטימיים ופטריוטים","וואלה",3,"L3_Optimistic_Pat"
"מחקר מוכיח: אנשים שלא שומרים על ריחוק חברתי ועוטים מסיכות - טיפשים יותר","מחקר מוכיח: אנשים שלא שומרים על ריחוק חברתי ועוטים מסיכות - _____ יותר","טיפשים","וואלה",1,"L1_Stupid_Masks"
"מערכת ההשכלה הגבוהה קרובה לקריסה. הפתרון עשוי להגיע מהחרדים","מערכת ההשכלה הגבוהה קרובה לקריסה. הפתרון עשוי להגיע מה_______","חרדים","הארץ",2,"L2_HighEd_Haredi"
"כך תביס שמאלנים בוויכוח על להט""בים","כך תביס שמאלנים בוויכוח על _______","להט""בים","ערוץ 7",2,"L2_Defeat_Leftists"
"מחקר: הילדים הפלסטינים לומדים לרצוח יהודים","מחקר: הילדים הפלסטינים לומדים _________","לרצוח יהודים","ערוץ 7",2,"L2_Pale_Kids"
"מחקר: הולך לבית כנסת? תחיה יותר זמן","מחקר: הולך ל_______? תחיה יותר זמן","בית כנסת","ערוץ 7",2,"L2_Synagogue_Live"
"מחקר: התפילין תורמים לבריאות הלב","מחקר: _______ תורמים לבריאות הלב","תפילין","ערוץ 7",1,"L1_Tefillin_Heart"
"מחקר ישראלי מצא כי חשיפה לשמש מגבירה תיאבון אצל גברים","מחקר ישראלי מצא כי חשיפה לשמש מגבירה ______ אצל גברים","תיאבון","הארץ",1,"L1_Sun_Appetite"
"מחקר ענק: גיימינג מעלה את מנת המשכל של ילדים","מחקר ענק: ______ מעלה את מנת המשכל של ילדים","גיימינג","ישראל היום",1,"L1_Gaming_IQ"
"למה אתם חושבים שכל הטבעונים שמאלנים?","למה אתם חושבים שכל ה_______ שמאלנים?","טבעונים","ישראל היום",2,"L2_Vegan_Leftists"
"סקר: 59% מבני הנוער - ימנים","סקר: 59% מבני הנוער - _____","ימנים","ישראל היום",3,"L3_Youth_Right"
"סיבוב הפרסה של המשטרה: בוטל מינוי הבכיר שקרא לדקור להט""בים","סיבוב הפרסה של המשטרה: בוטל מינוי הבכיר שקרא _______","לדקור להט""בים","ישראל היום",3,"L3_Police_Stab"
"""רוב החולים במוטציה הבריטית בישראל - חרדים""","""רוב החולים במוטציה הבריטית בישראל - _________""","חרדים","ישראל היום",2,"L2_Haredi_UK_Mut"
"כמו כולם: קיבוצניקים ישלמו מס הכנסה וביטוח לאומי","כמו כולם: _______ ישלמו מס הכנסה וביטוח לאומי","קיבוצניקים","ישראל היום",2,"L2_Kibbutz_Tax"
